,movie_id,title,genres,poster_url
0,2,Jumanji (1995),Adventure|Children's|Fantasy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/2.jpg?raw=true
1,4,Waiting to Exhale (1995),Comedy|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/4.jpg?raw=true
2,6,Heat (1995),Action|Crime|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/6.jpg?raw=true
3,8,Tom and Huck (1995),Adventure|Children's,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/8.jpg?raw=true
4,10,GoldenEye (1995),Action|Adventure|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/10.jpg?raw=true
5,12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/12.jpg?raw=true
6,14,Nixon (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/14.jpg?raw=true
7,16,Casino (1995),Drama|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/16.jpg?raw=true
8,18,Four Rooms (1995),Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/18.jpg?raw=true
9,20,Money Train (1995),Action,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/20.jpg?raw=true
10,22,Copycat (1995),Crime|Drama|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/22.jpg?raw=true
11,24,Powder (1995),Drama|Sci-Fi,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/24.jpg?raw=true
12,26,Othello (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/26.jpg?raw=true
13,28,Persuasion (1995),Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/28.jpg?raw=true
14,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/30.jpg?raw=true
15,32,Twelve Monkeys (1995),Drama|Sci-Fi,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/32.jpg?raw=true
16,34,Babe (1995),Children's|Comedy|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/34.jpg?raw=true
17,36,Dead Man Walking (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/36.jpg?raw=true
18,38,It Takes Two (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/38.jpg?raw=true
19,40,"Cry, the Beloved Country (1995)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/40.jpg?raw=true
20,42,Dead Presidents (1995),Action|Crime|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/42.jpg?raw=true
21,44,Mortal Kombat (1995),Action|Adventure,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/44.jpg?raw=true
22,46,How to Make an American Quilt (1995),Drama|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/46.jpg?raw=true
23,48,Pocahontas (1995),Animation|Children's|Musical|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/48.jpg?raw=true
24,50,"Usual Suspects, The (1995)",Crime|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/50.jpg?raw=true
25,52,Mighty Aphrodite (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/52.jpg?raw=true
26,54,"Big Green, The (1995)",Children's|Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/54.jpg?raw=true
27,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/56.jpg?raw=true
28,58,"Postino, Il (The Postman) (1994)",Drama|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/58.jpg?raw=true
29,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/60.jpg?raw=true
30,62,Mr. Holland's Opus (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/62.jpg?raw=true
31,64,Two if by Sea (1996),Comedy|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/64.jpg?raw=true
32,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/66.jpg?raw=true
33,68,French Twist (Gazon maudit) (1995),Comedy|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/68.jpg?raw=true
34,70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/70.jpg?raw=true
35,72,Kicking and Screaming (1995),Comedy|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/72.jpg?raw=true
36,74,Bed of Roses (1996),Drama|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/74.jpg?raw=true
37,76,Screamers (1995),Sci-Fi|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/76.jpg?raw=true
38,78,"Crossing Guard, The (1995)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/78.jpg?raw=true
39,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/80.jpg?raw=true
40,82,Antonia's Line (Antonia) (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/82.jpg?raw=true
41,84,Last Summer in the Hamptons (1995),Comedy|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/84.jpg?raw=true
42,86,White Squall (1996),Adventure|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/86.jpg?raw=true
43,88,Black Sheep (1996),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/88.jpg?raw=true
44,90,"Journey of August King, The (1995)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/90.jpg?raw=true
45,92,Mary Reilly (1996),Drama|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/92.jpg?raw=true
46,94,Beautiful Girls (1996),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/94.jpg?raw=true
47,96,In the Bleak Midwinter (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/96.jpg?raw=true
48,98,Shopping (1994),Action|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/98.jpg?raw=true
49,100,City Hall (1996),Drama|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/100.jpg?raw=true
50,102,Mr. Wrong (1996),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/102.jpg?raw=true
51,104,Happy Gilmore (1996),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/104.jpg?raw=true
52,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/106.jpg?raw=true
53,108,Catwalk (1995),Documentary,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/108.jpg?raw=true
54,110,Braveheart (1995),Action|Drama|War,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/110.jpg?raw=true
55,112,Rumble in the Bronx (1995),Action|Adventure|Crime,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/112.jpg?raw=true
56,114,Margaret's Museum (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/114.jpg?raw=true
57,116,Anne Frank Remembered (1995),Documentary,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/116.jpg?raw=true
58,118,If Lucy Fell (1996),Comedy|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/118.jpg?raw=true
59,120,Race the Sun (1996),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/120.jpg?raw=true
60,122,Boomerang (1992),Comedy|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/122.jpg?raw=true
61,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/124.jpg?raw=true
62,126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/126.jpg?raw=true
63,128,Jupiter's Wife (1994),Documentary,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/128.jpg?raw=true
64,130,Angela (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/130.jpg?raw=true
65,132,Jade (1995),Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/132.jpg?raw=true
66,134,Sonic Outlaws (1995),Documentary,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/134.jpg?raw=true
67,136,From the Journals of Jean Seberg (1995),Documentary,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/136.jpg?raw=true
68,138,"Neon Bible, The (1995)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/138.jpg?raw=true
69,140,Up Close and Personal (1996),Drama|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/140.jpg?raw=true
70,142,Shadows (Cienie) (1988),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/142.jpg?raw=true
71,144,"Brothers McMullen, The (1995)",Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/144.jpg?raw=true
72,146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/146.jpg?raw=true
73,148,"Awfully Big Adventure, An (1995)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/148.jpg?raw=true
74,150,Apollo 13 (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/150.jpg?raw=true
75,152,"Addiction, The (1995)",Horror,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/152.jpg?raw=true
76,154,Belle de jour (1967),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/154.jpg?raw=true
77,156,Blue in the Face (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/156.jpg?raw=true
78,158,Casper (1995),Adventure|Children's,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/158.jpg?raw=true
79,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/160.jpg?raw=true
80,162,Crumb (1994),Documentary,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/162.jpg?raw=true
81,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/164.jpg?raw=true
82,166,"Doom Generation, The (1995)",Comedy|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/166.jpg?raw=true
83,168,First Knight (1995),Action|Adventure|Drama|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/168.jpg?raw=true
84,170,Hackers (1995),Action|Crime|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/170.jpg?raw=true
85,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/172.jpg?raw=true
86,174,Jury Duty (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/174.jpg?raw=true
87,176,Living in Oblivion (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/176.jpg?raw=true
88,178,Love & Human Remains (1993),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/178.jpg?raw=true
89,180,Mallrats (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/180.jpg?raw=true
90,182,Moonlight and Valentino (1995),Drama|Romance,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/182.jpg?raw=true
91,184,Nadja (1994),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/184.jpg?raw=true
92,186,Nine Months (1995),Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/186.jpg?raw=true
93,188,"Prophecy, The (1995)",Horror,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/188.jpg?raw=true
94,190,Safe (1995),Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/190.jpg?raw=true
95,192,"Show, The (1995)",Documentary,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/192.jpg?raw=true
96,194,Smoke (1995),Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/194.jpg?raw=true
97,196,Species (1995),Horror|Sci-Fi,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/196.jpg?raw=true
98,198,Strange Days (1995),Action|Crime|Sci-Fi,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/198.jpg?raw=true
99,200,"Tie That Binds, The (1995)",Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/200.jpg?raw=true
100,2019,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Action|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/2019.jpg?raw=true
101,318,"Shawshank Redemption, The (1994)",Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/318.jpg?raw=true
102,858,"Godfather, The (1972)",Action|Crime|Drama,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/858.jpg?raw=true
103,745,"Close Shave, A (1995)",Animation|Comedy|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/745.jpg?raw=true
104,527,Schindler's List (1993),Drama|War,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/527.jpg?raw=true
105,1148,"Wrong Trousers, The (1993)",Animation|Comedy,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/1148.jpg?raw=true
106,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/922.jpg?raw=true
107,1198,Raiders of the Lost Ark (1981),Action|Adventure,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/1198.jpg?raw=true
108,904,Rear Window (1954),Mystery|Thriller,https://github.com/arnabsaha16/movie-recommender-psl/blob/main/904.jpg?raw=true